flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
31018,13866,7,146,10,1,1,0,0.9768697023391724,5.703125,5.7421875,0.6744897365570068,0.3023799657821655
31019,13867,7,146,11,1,1,0,0.7539592981338501,5.703125,5.7421875,0.6744897365570068,0.07946956157684326
31020,13868,7,146,12,1,1,0,0.6387325525283813,5.703125,5.7421875,0.6744897365570068,0.03575718402862549
31021,13869,7,146,13,1,1,0,0.43988820910453796,5.703125,5.7421875,0.6744897365570068,0.23460152745246887
31022,13870,7,146,14,0,0,0,-1.0528484582901,5.703125,5.7421875,-0.6744897365570068,0.37835872173309326
31023,13871,7,146,15,1,1,0,0.38809919357299805,5.703125,5.7421875,0.6744897365570068,0.2863905429840088
31024,13872,7,147,0,1,1,0,2.0372679233551025,5.7421875,5.78125,0.6744897365570068,1.3627781867980957
31025,13873,7,147,1,0,0,0,-0.7659094929695129,5.7421875,5.78125,-0.6744897365570068,0.0914197564125061
31026,13874,7,147,2,0,0,0,-0.5781875252723694,5.7421875,5.78125,-0.6744897365570068,0.09630221128463745
31027,13875,7,147,3,1,1,0,0.4560118019580841,5.7421875,5.78125,0.6744897365570068,0.21847793459892273
31028,13876,7,147,4,0,0,0,-0.4052217900753021,5.7421875,5.78125,-0.6744897365570068,0.2692679464817047
31029,13877,7,147,5,0,0,0,-0.9216973781585693,5.7421875,5.78125,-0.6744897365570068,0.2472076416015625
31030,13878,7,147,6,0,0,0,-0.9314739108085632,5.7421875,5.78125,-0.6744897365570068,0.2569841742515564
31031,13879,7,147,7,1,1,0,0.6910226345062256,5.7421875,5.78125,0.6744897365570068,0.01653289794921875
31032,13880,7,147,8,1,1,0,0.40255647897720337,5.7421875,5.78125,0.6744897365570068,0.27193325757980347
31033,13881,7,147,9,1,1,0,0.6772766709327698,5.7421875,5.78125,0.6744897365570068,0.0027869343757629395
31034,13882,7,147,10,1,1,0,0.5242804288864136,5.7421875,5.78125,0.6744897365570068,0.15020930767059326
31035,13883,7,147,11,1,1,0,0.5129521489143372,5.7421875,5.78125,0.6744897365570068,0.16153758764266968
31036,13884,7,147,12,0,0,0,-0.8975402116775513,5.7421875,5.78125,-0.6744897365570068,0.22305047512054443
31037,13885,7,147,13,1,1,0,0.8385770320892334,5.7421875,5.78125,0.6744897365570068,0.16408729553222656
31038,13886,7,147,14,0,0,0,-1.0933005809783936,5.7421875,5.78125,-0.6744897365570068,0.4188108444213867
31039,13887,7,147,15,0,0,0,-0.7613828182220459,5.7421875,5.78125,-0.6744897365570068,0.08689308166503906
31040,13888,7,148,0,0,0,0,-1.9535211324691772,5.78125,5.8203125,-0.6744897365570068,1.2790313959121704
31041,13889,7,148,1,0,0,0,-1.1869378089904785,5.78125,5.8203125,-0.6744897365570068,0.5124480724334717
31042,13890,7,148,2,1,1,0,0.39876997470855713,5.78125,5.8203125,0.6744897365570068,0.2757197618484497
31043,13891,7,148,3,1,1,0,0.8850542902946472,5.78125,5.8203125,0.6744897365570068,0.21056455373764038
31044,13892,7,148,4,0,0,0,-0.601463794708252,5.78125,5.8203125,-0.6744897365570068,0.07302594184875488
31045,13893,7,148,5,1,1,0,0.5251045823097229,5.78125,5.8203125,0.6744897365570068,0.14938515424728394
31046,13894,7,148,6,0,0,0,-0.5307803750038147,5.78125,5.8203125,-0.6744897365570068,0.14370936155319214
31047,13895,7,148,7,1,1,0,0.8706831336021423,5.78125,5.8203125,0.6744897365570068,0.1961933970451355
31048,13896,7,148,8,1,1,0,0.1662602722644806,5.78125,5.8203125,0.6744897365570068,0.5082294642925262
31049,13897,7,148,9,0,0,0,-0.613681972026825,5.78125,5.8203125,-0.6744897365570068,0.060807764530181885
31050,13898,7,148,10,1,1,0,0.9340474009513855,5.78125,5.8203125,0.6744897365570068,0.25955766439437866
31051,13899,7,148,11,1,1,0,0.7370421886444092,5.78125,5.8203125,0.6744897365570068,0.06255245208740234
31052,13900,7,148,12,0,0,0,-0.7289119362831116,5.78125,5.8203125,-0.6744897365570068,0.054422199726104736
